Unnamed: 0,name,full_name,description,forks_count,stargazers_count,watchers_count,open_issues_count
4853,polkit-gnome,src-openeuler/polkit-gnome,,1,0,133,2
5884,python-paste-deploy,src-openeuler/python-paste-deploy,"Load, configure, and compose WSGI applications and servers",5,0,132,0
3817,perl-IO-stringy,src-openeuler/perl-IO-stringy,,3,0,132,0
3020,oniguruma,src-openeuler/oniguruma,Regular expressions library,5,0,132,0
4896,psm,src-openeuler/psm,Intel Performance Scaled Messaging (PSM) Libraries,2,0,132,0
5201,python-cheetah,src-openeuler/python-cheetah,,4,0,132,1
6527,qpid-proton,src-openeuler/qpid-proton,,5,0,132,0
6080,python-pytest-mock,src-openeuler/python-pytest-mock,,5,0,132,1
4850,podman,src-openeuler/podman,,8,0,132,0
621,dump,src-openeuler/dump,,5,0,132,2
7352,uname-build-checks,src-openeuler/uname-build-checks,,2,0,132,0
326,cairomm,src-openeuler/cairomm,,5,0,132,0
6073,python-pytest-fixture-config,src-openeuler/python-pytest-fixture-config,,4,0,132,1
6099,python-pytest-virtualenv,src-openeuler/python-pytest-virtualenv,,5,0,132,1
7430,vulkan-headers,src-openeuler/vulkan-headers,,3,0,132,0
6071,python-pytest-expect,src-openeuler/python-pytest-expect,,1,0,132,1
7431,vulkan-loader,src-openeuler/vulkan-loader,,3,0,132,1
5748,python-mox,src-openeuler/python-mox,,2,0,132,1
6068,python-pytest-cov,src-openeuler/python-pytest-cov,,4,0,132,1
6176,python-rsa,src-openeuler/python-rsa,Pure-Python RSA implementation,5,0,132,0
6281,python-sphinxcontrib-spelling,src-openeuler/python-sphinxcontrib-spelling,,3,0,132,0
53,TeXamator,src-openeuler/TeXamator,,1,0,132,0
5724,python-memcached,src-openeuler/python-memcached,,4,0,132,0
7577,xmlstarlet,src-openeuler/xmlstarlet,,3,0,132,0
5939,python-polib,src-openeuler/python-polib,,6,0,132,1
7629,yaml-cpp,src-openeuler/yaml-cpp,,2,0,132,0
6989,seabios,src-openeuler/seabios,,0,1,132,1
3022,opa-psm2,src-openeuler/opa-psm2,,3,0,132,0
5937,python-pocketlint,src-openeuler/python-pocketlint,,5,0,132,0
3406,perl-Config-IniFiles,src-openeuler/perl-Config-IniFiles,,3,0,132,0
2583,nginx,src-openeuler/nginx,,20,0,132,1
5373,python-docopt,src-openeuler/python-docopt,,2,0,132,0
7351,umockdev,src-openeuler/umockdev,,3,0,132,1
1993,libhbaapi,src-openeuler/libhbaapi,SNIA HBAAPI library,5,0,132,0
